epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.644,1.43424,3.62118,3.95046,1.50612,0.5765,0.07396,0.11468,0.05785,0.49665,0.05997,0.08763,0.04198,0.92664,2.06973,2.81572,1.00597,0.00332891,0.00332891,0.00332891
2,227.885,1.42548,3.33064,2.75437,1.51832,0.35149,0.13789,0.13011,0.06977,0.32672,0.12243,0.10595,0.05311,0.98007,2.03885,1.57078,1.02056,0.00665895,0.00665895,0.00665895
3,333.351,1.48109,3.29383,2.42905,1.51828,0.21864,0.1136,0.10472,0.05458,0.19103,0.08749,0.07303,0.03605,1.0864,2.16124,1.62485,1.09691,0.00998568,0.00998568,0.00998568
4,436.787,1.52197,3.26384,2.31549,1.55422,0.1087,0.11286,0.08471,0.04161,0.2562,0.10437,0.07152,0.03229,1.12267,2.25281,2.16691,1.14002,0.00998515,0.00998515,0.00998515
5,539.014,1.50946,3.30497,2.21291,1.56415,0.51293,0.06281,0.10481,0.05614,0.44092,0.05646,0.08045,0.04022,1.12995,2.23119,2.26574,1.1556,0.0099802,0.0099802,0.0099802
6,642.828,1.58109,3.39755,2.28322,1.60855,0.37239,0.18771,0.14417,0.07769,0.34663,0.16775,0.1235,0.05729,1.08337,2.05503,2.27352,1.09076,0.00997525,0.00997525,0.00997525
7,745.366,1.49193,3.29876,2.14319,1.55618,0.29656,0.16849,0.13285,0.07177,0.25594,0.137,0.11054,0.0565,1.11257,2.16454,1.96619,1.11647,0.0099703,0.0099703,0.0099703
8,848.389,1.50912,3.3037,2.15691,1.55922,0.34331,0.13606,0.13644,0.06447,0.28712,0.1182,0.11282,0.04989,1.07704,2.22814,2.70554,1.12296,0.00996535,0.00996535,0.00996535
9,949.965,1.52071,3.32521,2.12208,1.55454,0.44182,0.13848,0.14199,0.06721,0.35818,0.12417,0.12314,0.05466,1.09647,2.16294,2.83877,1.14303,0.0099604,0.0099604,0.0099604
10,1052.41,1.44766,3.20583,2.04491,1.52971,0.50907,0.15644,0.12225,0.06597,0.47301,0.13875,0.09873,0.05151,1.09847,2.18686,14.4019,1.13022,0.00995545,0.00995545,0.00995545
11,1154.41,1.44362,3.26472,2.04913,1.5312,0.42727,0.18143,0.14548,0.07254,0.39466,0.16425,0.12227,0.05856,1.07174,2.09176,1.64245,1.0824,0.0099505,0.0099505,0.0099505
12,1257.23,1.5083,3.31759,2.07384,1.58863,0.37374,0.16587,0.13877,0.07721,0.35159,0.15007,0.12089,0.06219,1.08286,2.14262,1.54436,1.11898,0.00994555,0.00994555,0.00994555
13,1358.11,1.48808,3.20768,2.08035,1.57254,0.42513,0.17444,0.15582,0.08236,0.39325,0.16513,0.13178,0.06412,1.04662,2.06741,1.59125,1.08641,0.0099406,0.0099406,0.0099406
