epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5715,2.00133,4.8909,3.77734,1.85287,0.02775,0.22866,0.02932,0.01621,0.0193,0.16285,0.01937,0.00744,1.698,4.01825,3.89853,1.69066,0.0023,0.0023,0.0023
2,25.3249,1.74183,4.12706,3.69282,1.68191,0.02388,0.24009,0.04249,0.0201,0.01919,0.18074,0.02825,0.01407,1.73353,3.90712,3.86803,1.6886,0.00469767,0.00469767,0.00469767
3,32.669,1.67348,3.85809,3.5869,1.61057,0.01716,0.19001,0.02964,0.01291,0.00962,0.0848,0.01163,0.00547,2.17903,4.46196,3.87135,2.00834,0.00709297,0.00709297,0.00709297
4,39.9628,1.68698,3.79592,3.31559,1.63091,0.89524,0.0317,0.08388,0.04282,0.89548,0.02997,0.07141,0.04001,1.88077,3.90286,3.50143,1.76925,0.00948589,0.00948589,0.00948589
5,47.2769,1.79513,3.84936,3.11462,1.70684,0.1791,0.14338,0.07803,0.04206,0.1716,0.14154,0.07508,0.03735,1.9246,3.84047,3.16287,1.84659,0.0099802,0.0099802,0.0099802
6,54.6544,1.80367,3.74322,2.86907,1.69465,0.21559,0.18944,0.13076,0.0688,0.2452,0.15212,0.12277,0.06459,2.05945,3.92223,3.09593,1.89948,0.00997525,0.00997525,0.00997525
7,62.1149,1.82992,3.74712,2.67981,1.73706,0.29956,0.14355,0.09931,0.05247,0.27686,0.11871,0.08698,0.04621,2.05037,4.06793,3.89605,1.92336,0.0099703,0.0099703,0.0099703
8,70.0362,1.81975,3.74691,2.5832,1.74563,0.08438,0.13379,0.0607,0.02915,0.45022,0.07454,0.04899,0.02097,2.1998,4.32975,4.18779,2.0922,0.00996535,0.00996535,0.00996535
9,77.5252,1.76896,3.67311,2.46785,1.71377,0.11175,0.1789,0.09955,0.04931,0.10079,0.1727,0.09488,0.04476,2.00947,4.22686,3.83289,1.87364,0.0099604,0.0099604,0.0099604
10,84.8701,1.7369,3.64663,2.3964,1.69137,0.36031,0.18228,0.1583,0.07672,0.32858,0.17013,0.13845,0.0633,1.89398,3.80839,2.91238,1.79529,0.00995545,0.00995545,0.00995545
11,92.4186,1.69081,3.59046,2.30495,1.65401,0.33025,0.18194,0.13211,0.06477,0.32185,0.13654,0.11055,0.05321,1.97186,3.71958,3.07575,1.95512,0.0099505,0.0099505,0.0099505
12,99.867,1.66143,3.54678,2.24134,1.63793,0.46153,0.21535,0.17513,0.09865,0.43749,0.19488,0.15461,0.08513,1.84618,3.49592,2.72924,1.80406,0.00994555,0.00994555,0.00994555
13,107.181,1.65885,3.51014,2.19828,1.61823,0.28871,0.23863,0.19321,0.10587,0.53188,0.20115,0.17963,0.09878,1.81507,3.32027,2.46891,1.74116,0.0099406,0.0099406,0.0099406
14,114.492,1.66054,3.53475,2.20992,1.64188,0.28037,0.2257,0.19713,0.1068,0.27615,0.22228,0.1808,0.09665,1.84795,3.34702,2.58149,1.7615,0.00993565,0.00993565,0.00993565
15,121.671,1.61201,3.50066,2.16636,1.60875,0.24213,0.28695,0.20833,0.1097,0.35169,0.18827,0.18028,0.09144,1.78704,3.5239,2.38223,1.70855,0.0099307,0.0099307,0.0099307
16,128.904,1.63151,3.49487,2.19849,1.62485,0.22352,0.16264,0.14882,0.07521,0.36888,0.15387,0.1252,0.05899,2.02035,3.78686,2.78644,1.91133,0.00992575,0.00992575,0.00992575
17,136.244,1.66267,3.55221,2.19864,1.62661,0.34915,0.18782,0.17467,0.09272,0.44139,0.15796,0.15226,0.08134,1.85872,3.56479,2.59773,1.82792,0.0099208,0.0099208,0.0099208
18,143.509,1.6288,3.48828,2.12948,1.58799,0.31648,0.29042,0.23859,0.13162,0.28093,0.27308,0.219,0.12162,1.68614,3.2238,2.3773,1.68072,0.00991585,0.00991585,0.00991585
19,150.787,1.62737,3.45876,2.11299,1.59787,0.34664,0.22632,0.2139,0.12115,0.34269,0.20605,0.1988,0.10315,1.76148,3.38491,2.40993,1.76121,0.0099109,0.0099109,0.0099109
