epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5025,1.94348,4.87946,3.88691,1.82262,0.02254,0.20076,0.03534,0.01798,0.01004,0.15009,0.01774,0.00833,1.65601,3.96759,3.97643,1.62617,0.0023,0.0023,0.0023
2,22.4123,1.71125,4.15672,3.80041,1.67545,0.01928,0.19332,0.03653,0.01995,0.00917,0.14353,0.02976,0.01238,1.74653,3.93518,3.96658,1.68226,0.00469767,0.00469767,0.00469767
3,30.1509,1.64754,3.86837,3.65614,1.59988,0.0193,0.23569,0.06083,0.03041,0.01116,0.16009,0.04999,0.0217,1.75543,3.7801,3.8741,1.6334,0.00709297,0.00709297,0.00709297
4,37.6187,1.70282,3.86305,3.36793,1.64424,0.60264,0.06488,0.07198,0.03508,0.76154,0.0371,0.05797,0.02768,1.83701,3.87405,3.6472,1.78573,0.00948589,0.00948589,0.00948589
5,45.0406,1.8047,3.91042,3.1311,1.73285,0.64227,0.10858,0.10759,0.05219,0.60011,0.09091,0.08753,0.03833,1.90214,4.26629,3.18386,1.84125,0.0099802,0.0099802,0.0099802
6,52.537,1.83184,3.79423,2.90455,1.72238,0.64661,0.13783,0.11733,0.05425,0.62563,0.12475,0.10578,0.04452,1.8326,4.12187,3.21057,1.78945,0.00997525,0.00997525,0.00997525
7,60.2104,1.79233,3.77639,2.66496,1.7345,0.29279,0.21509,0.13088,0.06931,0.27123,0.16791,0.11402,0.05378,1.97665,4.10777,3.56419,1.87586,0.0099703,0.0099703,0.0099703
8,68.1068,1.79683,3.77189,2.5735,1.74269,0.29916,0.21931,0.14927,0.07928,0.2887,0.19817,0.14173,0.06708,1.88969,3.9715,3.97125,1.80061,0.00996535,0.00996535,0.00996535
9,75.721,1.72043,3.73329,2.45786,1.70757,0.27961,0.2337,0.13654,0.0712,0.26757,0.21754,0.12757,0.05486,1.86653,4.1293,3.98752,1.78104,0.0099604,0.0099604,0.0099604
10,83.1502,1.71254,3.648,2.38912,1.68769,0.48398,0.25066,0.21338,0.11832,0.45308,0.23247,0.1999,0.09662,1.7626,3.66354,2.65097,1.7141,0.00995545,0.00995545,0.00995545
